survey_date,response_date,total_spend,spend_reported,seating_segment,member_segment,feedback,has_feedback,primary_theme,sentiment
57:48.0,27:37.0,199.0,true,Floor/Pit,UNKNOWN,The entry to the floor was a nightmare. That should be changed.,true,Entry and wayfinding,negative
00:18.0,48:33.0,199.9,true,General,UNKNOWN,"The parking situation was chaotic and very unorganized. My group came in two cars and we eventually found parking in a mixed residential/business neighborhood quite a ways down from the stadium. However, it was totally worth it! We had a fantastic time, all 6 of us.",true,Parking and transportation,positive
28:03.0,38:25.0,119.0,true,General,UNKNOWN,Great all around. Easy access and bathroom locations,true,Restrooms,positive
28:03.0,12:09.0,119.0,true,General,UNKNOWN,It took 50 mins to exit the parking structure that is unacceptable!!! I paid $60 for the convenience of close easy secure parking I shouldâ€™ve parked across the street for $30 NEVER Again.  First and last time at BMO.,true,Parking and transportation,negative
19:30.0,40:53.0,,false,Unknown,NO,"Seats were wobbly, habenero chicken was extremely dry and wait for chicken strips was 20+ minutes on top of long wait in line. Caused us to miss early 2nd half goal. Otherwise, awesome experience and would do it again, just need to work on the food line speed and the wonky seats.",true,Queues and wait times,positive
28:03.0,23:24.0,238.0,true,General,UNKNOWN,Love the parent drop off/pick up !!,true,Other / unclassified,positive
28:03.0,40:49.0,79.5,true,General,UNKNOWN,"Add another screen up by the 200s sections on the far sides of the stage, so that we can see the camera view. It's barely visible and I would like to see the performance from the front view too.",true,Other / unclassified,negative
00:18.0,10:14.0,129.94,true,Floor/Pit,UNKNOWN,Better parking situation,true,Parking and transportation,positive
28:03.0,28:05.0,389.5,true,Floor/Pit,UNKNOWN,The staff was amazing and prepared. Whoever is in charge of organising the plans and strategies (DOO) is amazing! I wish more events were planned this well outside of BMO.,true,Staff and service,positive
00:18.0,05:19.0,299.88,true,Floor/Pit,UNKNOWN,Better signage to indicate pit entry. We had a difficult time trying to find the pit entry and ended up walking around the entire stadium.,true,Entry and wayfinding,negative
58:31.0,12:45.0,,false,Unknown,UNKNOWN,"I have bought my merch online very easy. I had no interest this game to shop.  Too much good pre game entertainment, I didnâ€™t want to miss anything..",true,Other / unclassified,positive
58:31.0,01:46.0,,false,Unknown,UNKNOWN,"There were no vegan options in the founderâ€™s club lounge. My spouse and I expected that in LA of all places there would be vegan options for food. When I brought this to staffâ€™s attention, there response was that we could go down a level to pay for vegan food at the vendor. That seems like poor customer experience when the point of founderâ€™s club was to have inclusive food and drink.",true,Food and beverage,
58:31.0,03:07.0,,false,Unknown,UNKNOWN,Still waiting on my jersey that I orderd,true,Queues and wait times,negative
09:50.0,23:50.0,199.0,true,General,UNKNOWN,Not really! It was a great experience and my daughter was sooooooo happy!,true,Other / unclassified,positive
58:31.0,21:31.0,,false,Unknown,UNKNOWN,The PA was really bad. Could not hear what was being said or preformed,true,Other / unclassified,negative
09:50.0,47:06.0,705.0,true,Premium,UNKNOWN,traffic patterns and traffic flows to the stadium,true,Parking and transportation,neutral
58:31.0,08:48.0,,false,Unknown,UNKNOWN,"We looked at parking online and it said it would be $18 to park in the blue structure by the museum. When we got there, it turned out to be $50. That's not okay. Also, lines for bathrooms and food were VERY long and slow-moving. You need to figure out a better way to handle the crowds!",true,Queues and wait times,negative
58:31.0,34:01.0,,false,Unknown,UNKNOWN,"Need a way to get our scarfs at the game or by mail.  We live too far away and can not pick up through the week nor during Fanfest.  I have reached out to you twice, but no solution yet. - STH Section 119.  Loved the first game experience and the win!",true,Other / unclassified,negative
09:50.0,28:08.0,399.0,true,Premium,UNKNOWN,"After the event, exiting out of the parking was taking a lot longer than expected. Mainly because of lack of traffic control to allow cars to go onto the street. It was stand still for more than 30 mins and then we starting moving after it was being controlled better.",true,Parking and transportation,
09:50.0,13:59.0,119.0,true,General,UNKNOWN,The purse size restrictions for non clear bags were different on the website vs in person. Pretty frustrating I had to end up checking my bag that met the requirements listed on the website,true,Other / unclassified,negative
58:31.0,33:29.0,,false,Unknown,UNKNOWN,The lines for food were too long got there and were out. For purchasing same lines too long.,true,Queues and wait times,negative
58:31.0,30:21.0,,false,Unknown,UNKNOWN,"Lower food and drink prices. The selection sucks, this is why people pre game.",true,Food and beverage,
09:50.0,43:48.0,320.0,true,Floor/Pit,UNKNOWN,Exiting and entry should be easier for floor seats.,true,Entry and wayfinding,negative
58:48.0,58:49.0,,false,Unknown,UNKNOWN,"Offer more variety of food, better tasting food, more vegetables",true,Food and beverage,
58:48.0,37:13.0,79.5,true,General,UNKNOWN,No the overall stadium experience was perfect. I love BMO.,true,Other / unclassified,positive
09:50.0,15:03.0,320.0,true,Floor/Pit,UNKNOWN,"Seating at b2, the concert experience when they were at the ex tree bison stage was nice, but I couldnâ€™t see them that much when theyâ€™re at the main stage, I donâ€™t know if itâ€™s because itâ€™s at a stadium, I thought it was because thereâ€™s a lot of heads in front but even if the path is clear itâ€™s still very far",true,Other / unclassified,
58:31.0,53:18.0,,false,Unknown,UNKNOWN,I had a great time and am looking forward to the rest of the season!,true,Other / unclassified,positive
17:48.0,09:59.0,,false,Unknown,NO,I don't think so...,true,Other / unclassified,negative
09:50.0,11:14.0,550.0,true,General,UNKNOWN,Manage how many parking tickets they sell. I purchased a parking ticket to the stadium ahead of time and when I got there the staff said the parking was full and I needed to find a different parking area. I had to go find a farther parking area and I attend the concert late.,true,Parking and transportation,negative
09:50.0,20:38.0,1350.0,true,Floor/Pit,UNKNOWN,Raise the stage a foot higher so itâ€™ll be easier for everyone on floor seats to see when they look up.,true,Other / unclassified,neutral
39:19.0,52:26.0,218.56,true,Premium,YES,Fix the Ticketmaster price floor my tickets or find a way to educate the consumer about what Fig Club is really worth are unsellable,true,Affordability and value,negative
09:50.0,27:24.0,79.5,true,General,UNKNOWN,N/a,false,Other / unclassified,neutral
58:31.0,55:22.0,,false,Unknown,UNKNOWN,Just a bit disappointed in seeing the amount of jersey that were available for purchase but since I ordered them in pre order and I have to wait until mid May to get mine,true,Queues and wait times,negative
39:19.0,56:59.0,313.8,true,General,YES,Please show the game on tv screens in the stadium. Offer food delivery options. Lines for Hawaiian chicken and soft serve very long.,true,Queues and wait times,neutral
58:31.0,37:32.0,,false,Unknown,UNKNOWN,,false,Other / unclassified,
09:50.0,20:02.0,399.0,true,Floor/Pit,UNKNOWN,"When it comes to big groups like this, it is pertinent to everyoneâ€™s safety that there is enough security. My view was blocked (I was only 6 seats away from the barricade) because people from the back sections of the floor decided to rush the barricade. Security did nothing about it and it made my experience lose its value since these people blocked my view that was supposed to be so clear for me. Please make sure to work on that, not only for the safety of all the guests but more importantly the safety of the artists.",true,Staff and service,
